Date,Price,Open,High,Low,Vol.,Change %
04/15/2015,"26,644","26,450","26,680","26,388",12.44K,0.72%
04/16/2015,"26,533","26,644","26,740","26,472",12.93K,-0.42%
04/17/2015,"26,702","26,530","26,730","26,520",11.63K,0.64%
04/20/2015,"26,719","26,699","26,849","26,670",11.99K,0.06%
04/21/2015,"26,803","26,745","26,820","26,632",14.25K,0.31%
04/22/2015,"26,489","26,778","26,848","26,459",16.54K,-1.17%
04/23/2015,"26,777","26,515","26,792","26,461",12.51K,1.09%
04/24/2015,"26,574","26,734","26,839","26,521",12.98K,-0.76%
04/27/2015,"26,944","26,624","26,980","26,588",12.83K,1.39%
04/28/2015,"27,036","26,969","27,059","26,833",9.36K,0.34%
04/29/2015,"27,096","26,985","27,140","26,953",8.63K,0.22%
04/30/2015,"26,593","27,056","27,148","26,500",10.43K,-1.86%
05/01/2015,"26,483","26,572","26,572","26,300",2.02K,-0.41%
05/04/2015,"26,747","26,580","27,114","26,580",0.39K,1.00%
05/05/2015,"26,852","26,734","27,060","26,640",0.19K,0.39%
05/06/2015,"26,928","26,950","27,070","26,835",14.94K,0.28%
05/07/2015,"26,951","26,904","27,050","26,862",15.86K,0.09%
05/08/2015,"26,903","26,960","27,019","26,825",16.35K,-0.18%
05/11/2015,"26,853","26,898","26,969","26,786",14.01K,-0.19%
05/12/2015,"27,180","26,899","27,225","26,892",17.50K,1.22%
05/13/2015,"27,539","27,131","27,569","27,063",21.70K,1.32%
05/14/2015,"27,444","27,465","27,599","27,370",19.02K,-0.34%
05/15/2015,"27,473","27,417","27,500","27,260",15.94K,0.11%
05/18/2015,"27,629","27,518","27,695","27,513",13.94K,0.57%
05/19/2015,"27,309","27,565","27,599","27,266",17.57K,-1.16%
05/20/2015,"27,299","27,280","27,370","27,205",11.46K,-0.04%
05/21/2015,"27,130","27,280","27,339","27,108",12.95K,-0.62%
05/22/2015,"27,105","27,144","27,327","27,071",13.44K,-0.09%
05/25/2015,"27,180","27,112","27,197","27,101",6.98K,0.28%
05/26/2015,"26,917","27,154","27,227","26,884",14.64K,-0.97%
05/27/2015,"26,900","26,929","26,994","26,856",9.90K,-0.06%
05/28/2015,"26,899","26,877","26,950","26,760",11.25K,0.00%
05/29/2015,"26,866","26,900","26,949","26,820",8.56K,-0.12%
06/01/2015,"26,690","26,926","27,014","26,133",4.37K,-0.66%
06/02/2015,"26,856","26,743","26,929","26,730",0.82K,0.62%
06/03/2015,"26,806","26,908","27,000","26,775",0.18K,-0.19%
06/04/2015,"26,564","26,840","26,869","26,454",0.04K,-0.90%
06/05/2015,"26,439","26,599","26,613","26,371",0.26K,-0.47%
06/08/2015,"26,693","26,691","26,749","26,621",8.06K,0.96%
06/09/2015,"26,754","26,715","26,817","26,665",11.23K,0.23%
06/10/2015,"26,850","26,750","26,958","26,730",10.57K,0.36%
06/11/2015,"26,772","26,864","26,864","26,681",9.48K,-0.29%
06/12/2015,"26,773","26,770","26,860","26,725",9.19K,0.00%
06/15/2015,"26,915","26,795","26,997","26,625",14.25K,0.53%
06/16/2015,"26,831","26,938","26,958","26,760",9.78K,-0.31%
06/17/2015,"26,763","26,828","26,828","26,690",8.43K,-0.25%
06/18/2015,"27,031","26,760","27,120","26,760",15.63K,1.00%
06/19/2015,"26,959","27,020","27,061","26,901",7.99K,-0.27%
06/22/2015,"26,589","26,941","26,941","26,570",11.55K,-1.37%
06/23/2015,"26,478","26,650","26,676","26,461",9.71K,-0.42%
06/24/2015,"26,418","26,510","26,559","26,361",9.93K,-0.23%
06/25/2015,"26,365","26,470","26,494","26,342",7.83K,-0.20%
06/26/2015,"26,399","26,383","26,468","26,292",9.71K,0.13%
06/29/2015,"26,508","26,482","26,716","26,461",8.86K,0.41%
06/30/2015,"26,301","26,452","26,470","26,211",7.76K,-0.78%
07/01/2015,"26,182","26,275","26,380","26,160",1.79K,-0.45%
07/02/2015,"26,024","26,164","26,246","25,985",0.47K,-0.60%
